Date,Hashrate,Fees(sat),Nb_trans,Nb_trans_block,Price,Fee_per_block,Block_reward,ELectricity(TWh),Cambridge_MAX(TWh),Cambridge_MIN(TWh),Cambridge_GUESS(TWh),Dig_Guess(TWh),Dig_Min(TWh)
2021-10-21,147749067.17362463,20.276850739999993,320743.0,2167.1824324324325,66063.56,0.0004394363470878256,6.25,434.06810630283144,396.243531109029,38.3189743894629,103.611105160722,"178,9161919099","43,6642729281"
2021-10-24,152740589.71327412,8.981289720000005,211220.0,1380.5228758169935,61277.28,0.00012398875912800008,6.25,402.5997162958381,406.294382513314,39.2909481563914,106.239235944055,"180,5172403627","44,4663760697"
2021-10-27,156733807.7449937,12.545418510000008,292114.0,1860.5987261146497,60345.17,0.00023341989698281163,6.25,396.4825738544491,420.996405268029,40.7127163095129,110.083570819253,"182,1225568912","45,8941764723"
2021-10-30,154737198.72913387,10.417670139999993,252061.0,1626.2,62249.18,0.0001694121518166799,6.25,408.9881983108303,431.781489694286,41.7556945324286,112.903691348486,"183,7404684895","47,0466759245"
2021-11-02,170117315.72271112,17.50019126999999,297402.0,1882.2911392405063,61029.5,0.0003294045496253505,6.25,400.98494768878334,426.324321085371,41.2279556856171,111.476732354264,"185,6704535114","47,8248199473"
2021-11-05,166887240.1077229,17.517448909999995,285946.0,1844.8129032258064,61441.83,0.0003231641578076683,6.25,403.69369551406515,431.732103553029,41.7509186152629,112.890777692429,"187,2512494501","48,0873301863"
2021-11-08,145353402.67446837,16.099207829999997,285806.0,2117.0814814814817,63293.22,0.00034083334763414664,6.25,415.859132348986,439.9286596848,42.54357161736,115.034041046024,"188,9261284043","48,9357381195"
2021-11-11,170117315.72271112,15.55562963,293665.0,1858.639240506329,64976.73,0.0002891230364110095,6.25,426.91686422647075,438.682431276514,42.4230543326314,114.708173006478,"191,0826711652","49,3216381538"
2021-11-14,175094161.92837763,8.671454749999999,224016.0,1426.8535031847134,64420.94,0.0001237289558774522,6.25,423.25395463730774,436.960861258629,42.2565688451829,114.25801102739,"192,8035774046","48,7485959625"
2021-11-17,167943565.3237637,13.464726200000007,290390.0,1948.9261744966443,60172.26,0.00026241757323610754,6.25,395.34834691967774,451.535946197143,43.6660613987143,118.069153771006,"194,2832169586","49,2669933889"
2021-11-20,163435013.23453516,12.965309769999998,249652.0,1721.7379310344827,58133.02,0.0002232286561862096,6.25,381.9475827760785,448.611360644571,43.3832375540571,117.304423201422,"195,862550139","50,7001436083"
2021-11-23,148782218.94454235,12.288522640000002,283401.0,2146.9772727272725,56301.52,0.0002638317882347455,6.25,369.91660106219393,426.185036733857,41.2144861067357,111.440311808668,"197,0945344396","50,2482928885"
2021-11-26,148782218.94454235,14.573473770000003,292645.0,2217.007575757576,58935.45,0.00032309501753194326,6.25,387.22592318786394,421.4011401288,40.75185644316,110.189402266152,"198,2064674747","48,3432339897"
2021-11-29,158774565.17985132,11.133598339999992,301297.0,2106.972027972028,57292.28,0.0002345818027305579,6.25,376.42440744031273,422.926708898571,40.8993875093571,110.588313172766,"199,413068321","47,5364050325"
2021-12-02,172098304.91522342,18.879180590000004,313261.0,2021.0387096774193,57229.76,0.0003815555477938059,6.25,376.02247755264716,423.2052776016,40.92632666712,110.661154263959,"200,3074769727","47,6979304544"
2021-12-05,184311733.00598127,21.845509859999993,215213.0,1296.4638554216867,49253.86,0.00028321913936748064,6.25,323.6125240571947,453.237453095143,43.8306066698143,118.514069577321,"200,8013077763","47,8531203105"
2021-12-08,186532356.29520994,10.347112210000002,266110.0,1583.9880952380952,50645.41,0.0001638970256073274,6.25,332.7490693244211,462.25805696675,47.1447946879971,126.633318157507,"201,2153486613","50,4524467361"
2021-12-11,176161777.07292455,7.930528290000004,225733.0,1494.9205298013244,47137.46,0.00011855509552891198,6.25,309.6989867114403,390.436498897221,47.1480035073429,124.245854105276,"201,483472135","53,7644224696"
2021-12-14,178007627.4567432,11.712147920000001,278275.0,1880.2364864864865,46757.09,0.00022021607854310813,6.25,307.20490515214965,308.901985001856,46.0177528605943,118.860569208167,"201,6964334588","54,4698494666"
2021-12-17,179210381.69631582,12.996682629999995,263495.0,1768.4228187919464,47658.38,0.00022983630131488916,6.25,313.12707105142607,295.475460419592,44.0175763644814,113.694256164482,"201,8892274609","53,2520577036"
2021-12-20,173196610.49845287,10.997373189999998,266947.0,1853.798611111111,46689.28,0.00020386915145492564,6.25,306.7585754512951,293.412153211416,43.7102013206443,112.900328377927,"201,8892274609","51,5201122478"
2021-12-23,182818644.41503358,10.978315770000004,291799.0,1919.7302631578948,48628.35,0.00021075405022172574,6.25,319.49903285115005,310.58308696608,46.2681900169714,119.507430497723,"202,9560087463","50,3126490397"
2021-12-26,161682278.52670813,7.7534104899999985,198574.0,1481.8955223880596,50470.89,0.00011489744288367608,6.25,331.5998431837825,312.610327624368,46.5701921539971,120.287480449699,"204,3361612077","52,1890918037"
2021-12-29,174954704.37591556,16.40915858,276083.0,1904.0206896551724,47601.26,0.00031243377436152687,6.25,312.755911900082,305.187380825544,45.46438077087,117.431248620354,"204,495516826","53,4018167867"
2022-01-01,207532476.9148791,9.313250859999998,186834.0,1086.2441860465117,46249.56,0.00010116464599867673,6.25,303.86452757596766,302.50568256408,45.0648827623286,116.399373795075,"204,495516826","51,8376133469"
2022-01-01,207532476.9148791,9.313250859999998,186834.0,1086.2441860465117,46249.56,0.00010116464599867673,6.25,303.86452757596766,302.50568256408,45.0648827623286,116.399373795075,"204,495516826","52,1401546477"
2022-01-04,177367872.71213505,13.284019999999991,274544.0,1867.6462585034014,46441.99,0.0002480985025088434,6.25,305.135986424207,311.269854186864,46.3704991175057,119.771687597837,"204,495516826","47,040880092"
