Date,Price,prix_log,interpolate,interpolate_log
2019-10-26,8666.79,9.067253759003483,9373.53754802961,9.145645843793304
2019-10-29,9218.76,9.128995817267405,9419.72059504806,9.150560706307594
2019-11-01,9147.98,9.12128836887006,9466.092300156493,9.155471461121856
2019-11-04,9206.16,9.127628104195741,9512.65327544921,9.160378115096549
2019-11-07,9343.34,9.142419069011696,9559.404134492712,9.165280675074953
2019-11-10,8809.41,9.08357574733467,9606.345492328286,9.170179147883253
2019-11-13,8801.52,9.082679712823387,9653.4779654739,9.175073540330551
2019-11-16,8457.69,9.042831365670038,9700.802171926991,9.179963859208975
2019-11-19,8175.99,9.008957089350762,9748.318731166239,9.184850111293677
2019-11-22,7617.07,8.938147060300365,9796.02826415436,9.189732303342943
2019-11-25,6907.4,8.840348579675045,9843.931393340232,9.194610442098224
2019-11-28,7523.83,8.925830595800965,9892.028742661072,9.199484534284181
2019-12-01,7557.72,8.930324836385395,9940.32093754506,9.204354586608773
2019-12-04,7296.77,8.895187063466203,9988.808604913313,9.20922060576327
2019-12-07,7547.19,8.928930587534419,10037.492373182513,9.214082598422351
2019-12-10,7337.42,8.900742561180833,10086.372872267106,9.218940571244133
2019-12-13,7189.16,8.880329614960994,10135.450733581652,9.223794530870236
2019-12-16,7111.14,8.869417847497338,10184.72659004304,9.228644483925827
2019-12-19,7284.29,8.893475253344372,10234.201076072897,9.233490437019675
2019-12-22,7143.2,8.873916134203007,10283.874827600115,9.238332396744234
2019-12-25,7250.69,8.888851915733907,10333.74848206269,9.243170369675639
2019-12-28,7243.93,8.887919155787095,10383.82267841076,9.248004362373834
2019-12-31,7219.6,8.884554828690094,10434.098057108158,9.252834381382549
2020-01-03,6944.33,8.845680778252477,10484.575260135538,9.257660433229425
2020-01-06,7351.57,8.902669174838666,10535.254930991858,9.262482524425991
2020-01-09,8042.65,8.992513909856259,10586.137714697663,9.2673006614678
2020-01-12,8021.49,8.989879469140725,10637.224257796574,9.272114850834406
2020-01-15,8842.42,9.087315873823556,10688.515208358209,9.276925098989466
2020-01-18,8900.34,9.093844757237735,10740.011215980201,9.281731412380765
2020-01-21,8626.47,9.062590662159812,10791.712931790827,9.286533797440292
2020-01-24,8388.11,9.034570505908166,10843.621008451117,9.29133226058427
2020-01-27,8588.42,9.058170063252303,10895.73610015725,9.29612680821321
2020-01-30,9279.81,9.135596351432717,10948.058862642976,9.30091744671197
2020-02-02,9378.09,9.146131396532464,11000.58995318204,9.305704182449816
2020-02-05,9162.14,9.122835054836381,11053.33003059036,9.310487021780446
2020-02-08,9807.54,9.190906756586735,11106.279755228386,9.315265971042052
2020-02-11,9854.79,9.195712910379568,11159.43978900376,9.320041036557392
2020-02-14,10242.43,9.234294175128696,11212.810795373203,9.324812224633796
2020-02-17,9937.67,9.204087865734504,11266.39343934543,9.32957954156327
2020-02-20,9604.72,9.170009923294142,11320.188387482958,9.334342993622492
2020-02-23,9669.63,9.17674532504726,11374.196307904873,9.339102587072901
2020-02-26,9309.15,9.138753066425277,11428.417870289042,9.343858328160728
2020-02-29,8712.35,9.072496838277816,11482.853745874409,9.348610223117042
2020-03-03,8912.82,9.095245968706326,11537.504607463783,9.353358278157835
2020-03-06,9067.39,9.112439739845536,11592.371129425408,9.358102499483998
2020-03-09,8039.38,8.992107244771681,11647.453987696244,9.362842893281453
2020-03-12,7936.65,8.979246550852594,11702.753859783636,9.367579465721136
2020-03-15,5166.26,8.54990430146404,11758.271424768185,9.372312222959089
2020-03-18,5357.61,8.586273259101489,11814.007363305833,9.377041171136483
2020-03-21,6226.44,8.73656001988254,11869.96235763018,9.381766316379661
2020-03-24,6502.16,8.779889708374064,11926.137091555305,9.386487664800221
2020-03-27,6763.75,8.819332748956946,11982.532250477685,9.391205222495024
2020-03-30,5885.41,8.680231685916738,12039.148521378856,9.395918995546268
2020-04-02,6652.87,8.802803619493861,12095.986592827583,9.40062899002151
2020-04-05,6871.69,8.835165352052865,12153.047154982542,9.405335211973743
2020-04-08,7205.55,8.88260684139805,12210.3308995944,9.410037667441415
2020-04-11,6873.24,8.835390889761179,12267.838520008607,9.414736362448508
2020-04-14,6857.66,8.833121554657687,12325.570711167036,9.419431303004522
2020-04-17,7112.27,8.869576740477626,12383.528169611482,9.424122495104612
2020-04-20,7130.04,8.872072123490781,12441.711593485139,9.428809944729558
2020-04-23,7130.99,8.872205353699457,12500.121682535228,9.43349365784583
2020-04-26,7549.52,8.92923926406308,12558.759138115802,9.438173640405665
2020-04-29,7765.33,8.957424233069968,12617.624663189592,9.44284989834707
2020-05-02,8824.66,9.085305354147136,12676.71896233081,9.447522437593896
2020-05-05,8885.93,9.092224405904618,12736.04274172736,9.45219126405587
2020-05-08,10002.48,9.210588341229267,12795.596709183215,9.456856383628633
2020-05-11,8754.46,9.077318563777174,12855.381574121166,9.461517802193818
2020-05-14,9305.93,9.138407110347504,12915.398047584657,9.466175525619043
2020-05-17,9385.7,9.146942533346214,12975.64684224073,9.470829559758002
2020-05-20,9785.74,9.188681502928777,13036.128672382249,9.475479910450488
2020-05-23,9167.26,9.123393720164561,13096.844253929998,9.48012658352242
2020-05-26,8899.66,9.093768352743316,13157.794304435847,9.484769584785937
2020-05-29,9569.21,9.166305931405317,13218.979543084413,9.489408920039388
2020-06-01,9450.84,9.153858905426294,13280.40069069602,9.494044595067415
2020-06-04,9658.04,9.175546008069144,13342.058469728569,9.498676615640953
2020-06-07,9670.43,9.17682805488372,13403.95360428069,9.503304987517332
2020-06-10,9775.15,9.187598730004371,13466.086820093431,9.507929716440259
2020-06-13,9459.97,9.154824490793539,13528.458844553235,9.512550808139906
2020-06-16,9426.7,9.15130136740404,13591.070406694103,9.51716826833293
2020-06-19,9380.03,9.1463382402894,13653.922237200111,9.521782102722526
2020-06-22,9284.78,9.136131779375779,13717.015068407854,9.52639231699846
2020-06-25,9276.58,9.135248223371965,13780.349634308795,9.53099891683712
2020-06-28,9004.23,9.105449745902952,13843.926670551711,9.535601907901544
2020-07-01,9133.97,9.119755709307757,13907.746914445133,9.54020129584147
2020-07-04,9072.42,9.11299432119219,13971.811104960214,9.544797086293407
2020-07-07,9348.91,9.143015037946936,14036.119982732283,9.549389284880611
2020-07-10,9238.04,9.131085020922722,14100.674290064007,9.55397789721318
2020-07-13,9295.9,9.137328721718857,14165.474770927864,9.558562928888094
2020-07-16,9193.51,9.126253079318328,14230.522170967803,9.563144385489203
2020-07-19,9174.71,9.124206064793812,14295.817237502828,9.567722272587346
2020-07-22,9392.66,9.147683812171278,14361.36071952858,9.572296595740333
2020-07-25,9551.28,9.164430455906981,14427.153367719799,9.576867360492983
2020-07-28,11042.4,9.309497687509369,14493.195934433745,9.581434572377233
2020-07-31,11114.93,9.316044528582694,14559.489173711252,9.585998236912083
2020-08-03,11077.77,9.312695676507145,14626.033841280347,9.590558359603712
2020-08-06,11750.28,9.371632349075615,14692.83069455804,9.595114945945475
2020-08-09,11767.6,9.373105271220918,14759.880492653128,9.599668001417967
2020-08-12,11392.43,9.340704378725919,14827.18399636839,9.604217531489041
2020-08-15,11774.38,9.373681263570539,14894.741968203425,9.608763541613875
2020-08-18,12293.72,9.41684384187003,14962.555172356413,9.613306037234963
2020-08-21,11865.82,9.381417277311993,15030.624374727706,9.61784502378223
